,Unnamed: 0,Номер животного,Ушная бирка животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события,IS_COW_ON_HORMONES,PROTOCOL_STAGE_1,PROTOCOL_STAGE_2,PROTOCOL_STAGE_3,PROTOCOL_STAGE_4,PROTOCOL_STAGE_5,PROTOCOL_STAGE_6,PROTOCOL_STAGE_7,PROTOCOL_STAGE_8,PROTOCOL_STAGE_9,PROTOCOL_STAGE_10,PROTOCOL_STAGE_11,UDDER_PARTS_AFFECTED_STAGE_1,UDDER_PARTS_CURED_STAGE_1,UDDER_PARTS_AFFECTED_STAGE_2,UDDER_PARTS_CURED_STAGE_2,UDDER_PARTS_AFFECTED_STAGE_3,UDDER_PARTS_CURED_STAGE_3,UDDER_PARTS_AFFECTED_STAGE_4,UDDER_PARTS_CURED_STAGE_4,UDDER_PARTS_AFFECTED_STAGE_5,UDDER_PARTS_CURED_STAGE_5,UDDER_PARTS_AFFECTED_STAGE_6,UDDER_PARTS_CURED_STAGE_6,UDDER_PARTS_AFFECTED_STAGE_7,UDDER_PARTS_CURED_STAGE_7,UDDER_PARTS_AFFECTED_STAGE_8,UDDER_PARTS_CURED_STAGE_8,UDDER_PARTS_AFFECTED_STAGE_9,UDDER_PARTS_CURED_STAGE_9,UDDER_PARTS_AFFECTED_STAGE_10,UDDER_PARTS_CURED_STAGE_10,UDDER_PARTS_AFFECTED_STAGE_11,UDDER_PARTS_CURED_STAGE_11,IS_POSITIVE_RESULT,DAYS_OF_TREATMENT,COW_FULL_YEARS,MOTHER_ID,FATHER_ID,MOTHER_FATHER_ID,CALV_RESULT_TWO_CHILDREN,CALV_RESULT_AT_LEAST_ONE_DEAD,Mother_has_mastitis
0,5563,507054,507054,F,0.25,FA,0.0,2015-07-09,0.3111111111111111,0.9484536082474226,0.40024001272651133,0.42132316689663496,9,0.2509865824782952,2019-03-05,ТМ5_3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0.2,1633,0.4029255129480767,0.38535909532127605,0,0,0
1,5139,505082,505082,F,0.25,FA,0.0,2015-05-14,0.3111111111111111,0.9278350515463918,0.40024001272651133,0.42132316689663496,9,0.2565114443567482,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0.2,112043,0.4164213156580175,0.38535909532127605,0,0,0
2,7034,602133,602133,F,0.25,MA,0.0,2016-02-20,0.2777777777777778,0.0,0.4366517508491224,0.47067901157781167,9,0.062352012628255724,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0.2,402141,0.43415897570106626,0.3764495323323207,0,0,0
3,3103,410016,410016,F,0.375,FA,0.0,2014-10-04,0.3,0.9415807560137457,0.9147105303384865,1.0,9,0.1878453038674033,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.3,2046,0.3653291427079316,0.38535909532127605,0,0,0
4,4376,502091,502091,F,0.25,FA,0.0,2015-02-15,0.3333333333333333,0.0,0.36513376213332527,0.4018819555475627,9,0.2920284135753749,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0.3,757,0.4149413263778794,0.38535909532127605,0,0,0
5,3308,410126,410126,F,0.375,FA,0.0,2014-10-29,0.31666666666666665,0.979381443298969,0.40024001272651133,0.42132316689663496,9,0.18547750591949486,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.3,621,0.34788716661855906,0.38535909532127605,0,0,0
6,3620,411156,411156,F,0.375,FA,0.0,2014-11-29,0.31666666666666665,0.0,0.39657320741312346,0.410406159746229,9,0.1633780584056827,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.3,902909,0.4416929940430473,0.38535909532127605,0,0,0
7,11935,704134,704134,F,0.125,MA,0.0,2017-04-29,0.0,0.9725085910652921,0.40024001272651133,0.42132316689663496,9,0.027624309392265192,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.0,507069,0.41739972952203486,0.18465282338724212,0,0,0
8,2280,404141,404141,F,0.375,FA,0.0,2014-04-25,0.31666666666666665,0.0,0.0,0.4018819555475627,9,0.20757695343330704,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.3,203013,0.3653291427079316,0.38535909532127605,0,0,0
9,3215,410083,410083,F,0.375,MA,0.0,2014-10-18,0.36666666666666664,0.9896907216494846,0.40024001272651133,0.42132316689663496,9,0.15074980268350435,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0.3,31392,0.4026014627977212,0.38535909532127605,0,0,0
10,4482,502149,502149,F,0.25,MA,0.0,2015-02-22,0.3111111111111111,0.9484536082474226,0.40024001272651133,0.42132316689663496,9,0.3228097868981847,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.3,305017,0.34788716661855906,0.38535909532127605,0,0,0
11,2746,407100,407100,F,0.375,MA,0.0,2014-07-22,0.35555555555555557,0.0,0.8575802487364627,0.4018819555475627,9,0.06393054459352802,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,478,0.42831949292036636,0.38535909532127605,0,0,0
12,4957,504120,504120,F,0.375,FA,0.0,2015-04-19,0.3055555555555556,0.9278350515463918,0.40024001272651133,0.42132316689663496,9,0.03157063930544594,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.2,69801,0.31740024168407655,0.38535909532127605,0,0,0
13,2294,404149,404149,F,0.375,FA,0.0,2014-04-27,0.31666666666666665,0.0,0.39657320741312346,0.410406159746229,9,0.13022888713496447,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.3,204037,0.3653291427079316,0.38535909532127605,0,0,0
14,4443,502124,502124,F,0.375,FA,0.0,2015-02-18,0.8111111111111111,0.0,0.4357305787184588,0.34600733736508554,9,0.018942383583267563,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.3,457,0.43953693047865705,0.38535909532127605,0,0,0
15,2591,406107,406107,F,0.375,MA,0.0,2014-06-26,0.3388888888888889,0.9759450171821306,0.40024001272651133,0.42132316689663496,9,0.11444356748224152,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0.3,902591,0.42831949292036636,0.38535909532127605,0,0,0
16,7153,603016,603016,F,0.25,FA,0.0,2016-03-03,0.3333333333333333,0.0,0.8575802487364627,0.4018819555475627,9,0.027624309392265192,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.2,404003,0.43415897570106626,0.28333418828714024,0,0,0
17,5708,508010,508010,F,0.25,MA,0.0,2015-08-02,0.3388888888888889,0.9725085910652921,0.40024001272651133,0.42132316689663496,9,0.09392265193370165,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0.2,546,0.34788716661855906,0.38535909532127605,0,0,0
18,5680,507149,507149,F,0.25,MA,0.0,2015-07-27,0.24444444444444444,0.0,0.8575802487364627,0.700333768255335,9,0.09234411996842937,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.2,461,0.43415897570106626,0.38535909532127605,0,0,0
19,5629,507093,507093,F,0.25,FA,0.0,2015-07-14,0.3111111111111111,0.0,0.39657320741312346,0.410406159746229,9,0.17363851617995266,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.2,2752,0.30557351434457014,0.38535909532127605,0,0,0
20,2965,408121,408121,F,0.375,MA,1.0,2014-08-27,0.32222222222222224,0.9312714776632303,0.40024001272651133,0.42132316689663496,9,0.07419100236779795,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.3,208062,0.3653291427079316,0.38535909532127605,0,0,0
21,2445,405083,405083,F,0.375,FA,1.0,2014-05-17,0.37222222222222223,0.9518900343642611,0.40024001272651133,0.42132316689663496,9,0.07813733228097869,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.3,204067,0.4416929940430473,0.38535909532127605,0,0,0
22,3037,409080,409080,F,0.25,MA,0.0,2014-09-17,0.32222222222222224,0.0,0.35641721751610667,0.33377869885001415,9,0.34490923441199683,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0.3,207095,0.3653291427079316,0.38535909532127605,0,0,0
23,6062,510140,510140,F,0.25,FA,0.0,2015-10-31,0.34444444444444444,0.9690721649484536,0.9147105303384865,0.8519555369793087,9,0.05367008681925809,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.2,308007,0.4164213156580175,0.38535909532127605,0,0,0
24,2178,404030,404030,F,0.375,FA,0.0,2014-04-06,0.35,0.738831615120275,0.42707680532449893,1.0,9,0.24151539068666142,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.3,2759,0.42831949292036636,0.38535909532127605,0,0,0
25,3709,412079,412079,F,0.25,MA,1.0,2014-12-17,0.35,0.5670103092783505,0.9147105303384865,0.8519555369793087,9,0.24546172059984214,2019-03-12,КМ5_34,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.3,421,0.6208772766978725,0.38535909532127605,0,0,0
26,2183,404035,404035,F,0.375,FA,0.0,2014-04-06,0.32222222222222224,0.0,0.36513376213332527,0.47067901157781167,9,0.06866614048934491,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0.3,3510,0.4416929940430473,0.38535909532127605,0,0,0
27,2439,405078,405078,F,0.375,FA,0.0,2014-05-16,0.3111111111111111,0.0,0.39657320741312346,0.410406159746229,9,0.3354380426203631,2019-03-12,КМ5_23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.3,802856,0.6208772766978725,0.38535909532127605,0,0,0
28,7197,603040,603040,F,0.25,FA,0.0,2016-03-07,0.34444444444444444,0.9587628865979382,0.40024001272651133,0.42132316689663496,9,0.05367008681925809,2019-03-12,КМ5_12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0.2,1516,0.4149413263778794,0.38535909532127605,0,0,0
